pair_gender,pair_race,FA_gender,LA_gender,FA_race,LA_race,JIF,year,num_citations,log_num_citations,citation_rate,log_citation_rate,WC,num_cited_refs,WC_1st,Country,global_north,article_id
MM,WW,M,M,W,W,1,1999,6,1.791759469228055,0.24,-1.4271163556401458,Ecology; Evolutionary Biology; Genetics & Heredity; Mathematical & Computational Biology,44,Ecology,usa,1,121426
MM,WW,M,M,W,W,5,1999,14,2.6390573296152584,0.56,-0.579818495252942,Immunology; Infectious Diseases; Microbiology,27,Immunology,usa,1,70438
MW,WN,M,W,W,N,5,1999,6,1.791759469228055,0.24,-1.4271163556401458,Oncology; Pathology,32,Oncology,netherlands,1,94018
MM,WW,M,M,W,W,4,1999,16,2.772588722239781,0.64,-0.4462871026284195,Ecology,92,Ecology,usa,1,23749
MW,WW,M,W,W,W,50,1999,47,3.8501476017100584,1.88,0.6312717768418578,Multidisciplinary Sciences,6,Multidisciplinary Sciences,usa,1,23015
MM,WW,M,M,W,W,98,1999,7,1.9459101490553132,0.28,-1.272965675812887,"Medicine, General & Internal",4,"Medicine, General & Internal",peoples r china,0,68361
MM,WW,M,M,W,W,16,1999,12,2.4849066497880004,0.48,-0.7339691750802004,Ecology; Evolutionary Biology; Genetics & Heredity,48,Ecology,united kingdom (great britain),1,72456
WW,WW,W,W,W,W,4,1999,6,1.791759469228055,0.24,-1.4271163556401458,"Public, Environmental & Occupational Health; Medicine, General & Internal",50,"Public, Environmental & Occupational Health",usa,1,98733
WW,WW,W,W,W,W,12,1999,8,2.0794415416798357,0.32,-1.1394342831883648,"Immunology; Medicine, Research & Experimental",39,Immunology,usa,1,98588
WM,WW,W,M,W,W,2,1999,16,2.772588722239781,0.64,-0.4462871026284195,Biology; Mathematical & Computational Biology,28,Biology,germany,1,20101
MM,WW,M,M,W,W,2,1999,6,1.791759469228055,0.24,-1.4271163556401458,Microbiology; Veterinary Sciences,13,Microbiology,usa,1,112244
MM,WW,M,M,W,W,63,1999,26,3.258096538021482,1.04,0.03922071315328133,"Medicine, General & Internal",39,"Medicine, General & Internal",usa,1,67892
WM,WW,W,M,W,W,4,1999,17,2.833213344056216,0.68,-0.3856624808119846,"Public, Environmental & Occupational Health; Medicine, General & Internal",62,"Public, Environmental & Occupational Health",usa,1,17067
