WoS Source UT,WoS Citing UT,WoS Times Cited
WOS:000426705100015,WOS:000560369900031,2
WOS:000426705100015,WOS:000559939900002,1
WOS:000426705100015,WOS:000559758300004,2
WOS:000426705100015,WOS:000558738300012,
WOS:000426705100015,WOS:000557538100004,4
WOS:000426705100015,WOS:000555570400006,1
WOS:000426705100015,WOS:000554905500014,2
WOS:000426705100015,WOS:000554458500015,1
WOS:000426705100015,WOS:000553726400003,14
WOS:000426705100015,WOS:000553144700001,14
WOS:000426705100015,WOS:000552256700001,3
WOS:000426705100015,WOS:000551133100007,25
WOS:000426705100015,WOS:000548298800009,4
WOS:000426705100015,WOS:000549283600001,24
WOS:000426705100015,WOS:000546338400005,11
WOS:000426705100015,WOS:000544932500035,12
WOS:000426705100015,WOS:000544195900007,9
WOS:000426705100015,WOS:000539503800002,
WOS:000426705100015,WOS:000562324300003,10
WOS:000426705100015,WOS:000542971600001,3
WOS:000426705100015,WOS:000542622800003,8
WOS:000426705100015,WOS:000541799400058,6
WOS:000426705100015,WOS:000540530700002,
WOS:000426705100015,WOS:000539257100021,8
WOS:000426705100015,WOS:000538083700003,2
WOS:000426705100015,WOS:000536469900011,24
WOS:000426705100015,WOS:000535296400011,6
WOS:000426705100015,WOS:000535233700039,4
WOS:000426705100015,WOS:000535307600024,8
WOS:000426705100015,WOS:000535412500010,18
WOS:000426705100015,WOS:000534327300004,7
WOS:000426705100015,WOS:000532378800001,7
WOS:000426705100015,WOS:000531816500023,20
WOS:000426705100015,WOS:000531226800001,14
WOS:000426705100015,WOS:000528248800002,14
WOS:000426705100015,WOS:000527278800159,3
WOS:000426705100015,WOS:000527917400016,1
WOS:000426705100015,WOS:000525802700037,
WOS:000426705100015,WOS:000525420400037,2
WOS:000426705100015,WOS:000524222400010,14
WOS:000426705100015,WOS:000524184300001,6
WOS:000426705100015,WOS:000522781300067,10
WOS:000426705100015,WOS:000522789100032,5
WOS:000426705100015,WOS:000520041000003,12
WOS:000426705100015,WOS:000518501100022,3
WOS:000426705100015,WOS:000518620500001,39
WOS:000426705100015,WOS:000518691400001,10
WOS:000426705100015,WOS:000519075300012,
WOS:000426705100015,WOS:000518220000009,1
WOS:000426705100015,WOS:000513972700016,4
WOS:000426705100015,WOS:000515112000010,2
WOS:000426705100015,WOS:000657175100003,
WOS:000426705100015,WOS:000645564300005,19
WOS:000426705100015,WOS:000510804600015,9
WOS:000426705100015,WOS:000513151100006,43
WOS:000426705100015,WOS:000511593200015,8
WOS:000426705100015,WOS:000512929000007,
WOS:000426705100015,WOS:000511865500018,7
WOS:000426705100015,WOS:000510826900030,
WOS:000426705100015,WOS:000511811300001,4
WOS:000426705100015,WOS:000511215300001,3
WOS:000426705100015,WOS:000510699200001,4
WOS:000426705100015,WOS:000509831700006,9
WOS:000426705100015,WOS:000507693100001,20
WOS:000426705100015,WOS:000505773800007,1
WOS:000426705100015,WOS:000505362100003,
WOS:000426705100015,WOS:000504765900011,1
WOS:000426705100015,WOS:000504557300001,24
WOS:000426705100015,WOS:000503079000002,7
WOS:000426705100015,WOS:000503160700002,7
WOS:000426705100015,WOS:000502881200003,166
WOS:000426705100015,WOS:000502884800044,7
WOS:000426705100015,WOS:000501792900011,33
WOS:000426705100015,WOS:000501467700008,6
WOS:000426705100015,WOS:000500212300001,1
WOS:000426705100015,WOS:000499731400005,9
WOS:000426705100015,WOS:000498871800021,5
WOS:000426705100015,WOS:000500791900009,5
WOS:000426705100015,WOS:000496120100014,7
WOS:000426705100015,WOS:000509671300006,
WOS:000426705100015,WOS:000501356100022,18
WOS:000426705100015,WOS:000494187200001,6
WOS:000426705100015,WOS:000491819400001,4
WOS:000426705100015,WOS:000490735900002,983
WOS:000426705100015,WOS:000490544000007,7
WOS:000426705100015,WOS:000489956100023,38
WOS:000426705100015,WOS:000490466000010,14
WOS:000426705100015,WOS:000489330700004,1
WOS:000426705100015,WOS:000489735400016,6
WOS:000426705100015,WOS:000489249000008,35
WOS:000426705100015,WOS:000488987300004,15
WOS:000426705100015,WOS:000488464400009,3
WOS:000426705100015,WOS:000488003400013,
WOS:000426705100015,WOS:000488011600004,2
WOS:000426705100015,WOS:000487972900012,
WOS:000426705100015,WOS:000472321300001,8
WOS:000426705100015,WOS:000485269700130,5
WOS:000426705100015,WOS:000486254400002,103
WOS:000426705100015,WOS:000889149200014,
WOS:000426705100015,WOS:000488003400005,1
WOS:000426705100015,WOS:000485039200005,6
WOS:000426705100015,WOS:000485451400001,11
WOS:000426705100015,WOS:000484881200003,2
WOS:000426705100015,WOS:000483539200029,14
WOS:000426705100015,WOS:000483684200002,11
WOS:000426705100015,WOS:000483684200001,16
WOS:000426705100015,WOS:000482925300014,13
WOS:000426705100015,WOS:000485415400008,4
WOS:000426705100015,WOS:000482944500002,
WOS:000426705100015,WOS:000485166900001,3
WOS:000426705100015,WOS:000481735700005,9
WOS:000426705100015,WOS:000480764500005,43
WOS:000426705100015,WOS:000480762400009,9
WOS:000426705100015,WOS:000480762400002,17
WOS:000426705100015,WOS:000616174500003,8
WOS:000426705100015,WOS:000483539200040,1
WOS:000426705100015,WOS:000483539200001,1
WOS:000426705100015,WOS:000480676200002,19
WOS:000426705100015,WOS:000480760500015,17
WOS:000426705100015,WOS:000480728000001,17
WOS:000426705100015,WOS:000480753200015,47
WOS:000426705100015,WOS:000480759700009,3
WOS:000426705100015,WOS:000479177500012,14
WOS:000426705100015,WOS:000478840000019,2
WOS:000426705100015,WOS:000475857100081,21
WOS:000426705100015,WOS:000476789800001,8
WOS:000426705100015,WOS:000476806200024,76
WOS:000426705100015,WOS:000479731700001,21
WOS:000426705100015,WOS:000475517300001,4
WOS:000426705100015,WOS:000475948700002,2
WOS:000426705100015,WOS:000475559500033,11
WOS:000426705100015,WOS:000476547800012,4
WOS:000426705100015,WOS:000474446100007,8
WOS:000426705100015,WOS:000474640900015,7
WOS:000426705100015,WOS:000474249100013,11
WOS:000426705100015,WOS:000474719700018,3
WOS:000426705100015,WOS:000474328500010,2
WOS:000426705100015,WOS:000473609500059,7
WOS:000426705100015,WOS:000473892300001,14
WOS:000426705100015,WOS:000473510800001,16
WOS:000426705100015,WOS:000472721200017,3
WOS:000426705100015,WOS:000472678800035,19
WOS:000426705100015,WOS:000472609400019,7
WOS:000426705100015,WOS:000693774800013,25
WOS:000426705100015,WOS:000482983000016,1
WOS:000426705100015,WOS:000484368300002,1
WOS:000426705100015,WOS:000476547800005,
WOS:000426705100015,WOS:000471826300018,84
WOS:000426705100015,WOS:000470805600014,
WOS:000426705100015,WOS:000470933900011,53
WOS:000426705100015,WOS:000468584700003,68
WOS:000426705100015,WOS:000467806400011,40
WOS:000426705100015,WOS:000467766000007,15
WOS:000426705100015,WOS:000466449300010,14
WOS:000426705100015,WOS:000468657900006,19
WOS:000426705100015,WOS:000670355200010,1
WOS:000426705100015,WOS:000537527100019,4
WOS:000426705100015,WOS:000470005600001,1
WOS:000426705100015,WOS:000466998600012,11
WOS:000426705100015,WOS:000466826800006,1
WOS:000426705100015,WOS:000466244500032,1282
WOS:000426705100015,WOS:000466135300003,
WOS:000426705100015,WOS:000465924300007,7
WOS:000426705100015,WOS:000465926700001,8
WOS:000426705100015,WOS:000465127900008,119
WOS:000426705100015,WOS:000541642000006,
WOS:000426705100015,WOS:000464940400032,186
WOS:000426705100015,WOS:000465591700006,
WOS:000426705100015,WOS:000464479000023,10
WOS:000426705100015,WOS:000464657100028,21
WOS:000426705100015,WOS:000464315900011,
WOS:000426705100015,WOS:000463370000014,53
WOS:000426705100015,WOS:000465499900007,
WOS:000426705100015,WOS:000462612400026,32
WOS:000426705100015,WOS:000462391500021,8
WOS:000426705100015,WOS:000462391500015,27
WOS:000426705100015,WOS:000463070700008,3
WOS:000426705100015,WOS:000461694100005,38
WOS:000426705100015,WOS:000460661000024,1
WOS:000426705100015,WOS:000459952500005,19
WOS:000426705100015,WOS:000459621700009,1
WOS:000426705100015,WOS:000459589800016,13
WOS:000426705100015,WOS:000459507200003,125
WOS:000426705100015,WOS:000461062400006,6
WOS:000426705100015,WOS:000459215800009,6
WOS:000426705100015,WOS:000458304400008,
WOS:000426705100015,WOS:000457875200001,10
WOS:000426705100015,WOS:000456356100024,98
WOS:000426705100015,WOS:000456261000009,7
WOS:000426705100015,WOS:000456310700002,13
WOS:000426705100015,WOS:000455793300008,7
WOS:000426705100015,WOS:000455485100018,16
WOS:000426705100015,WOS:000454951300006,12
WOS:000426705100015,WOS:000672553800064,3
WOS:000426705100015,WOS:000452647700035,11
WOS:000426705100015,WOS:000451640600003,9
WOS:000426705100015,WOS:000448819000062,13
WOS:000426705100015,WOS:000449215200019,25
WOS:000426705100015,WOS:000446453500013,42
WOS:000426705100015,WOS:000452403500008,8
WOS:000426705100015,WOS:000447873100023,13
WOS:000426705100015,WOS:000452629400024,54
WOS:000426705100015,WOS:000437222600010,126
WOS:000426705100015,WOS:000451227100021,29
WOS:000426705100015,WOS:000434242000011,7
WOS:000426705100015,WOS:000451242000002,15
WOS:000426705100015,WOS:000450483300002,
WOS:000426705100015,WOS:000452229700002,13
WOS:000426705100015,WOS:000448507600010,4
WOS:000426705100015,WOS:000448758300002,8
WOS:000426705100015,WOS:000448946600008,3
WOS:000426705100015,WOS:000448942300005,1
WOS:000426705100015,WOS:000447741000003,21
WOS:000426705100015,WOS:000446470800004,5
WOS:000426705100015,WOS:000446651800001,167
WOS:000426705100015,WOS:000445857100009,12
WOS:000426705100015,WOS:000446042400014,14
WOS:000426705100015,WOS:000444276400006,12
WOS:000426705100015,WOS:000444276400004,26
WOS:000426705100015,WOS:000444365800014,11
WOS:000426705100015,WOS:000443782600008,
WOS:000426705100015,WOS:000443604300010,2
WOS:000426705100015,WOS:000456315100009,3
WOS:000426705100015,WOS:000451226000005,23
WOS:000426705100015,WOS:000441864900004,
WOS:000426705100015,WOS:000442398600001,2
WOS:000426705100015,WOS:000441107400025,1
WOS:000426705100015,WOS:000441107400026,2
WOS:000426705100015,WOS:000441107400023,2
WOS:000426705100015,WOS:000440885700017,86
WOS:000426705100015,WOS:000441107400024,1
WOS:000426705100015,WOS:000437348500001,63
WOS:000426705100015,WOS:000435191300010,
WOS:000426705100015,WOS:000437222600004,3
WOS:000426705100015,WOS:000433336600005,
WOS:000426705100015,WOS:000452640700026,10
WOS:000426705100015,WOS:000434669200006,
WOS:000426705100015,WOS:000433055200003,18
WOS:000426705100015,WOS:000432942700141,
WOS:000426705100015,WOS:000429765400001,6
WOS:000426705100015,WOS:000427916100002,2
WOS:000426705100015,WOS:000447620800002,3
WOS:000426705100015,WOS:000442622800001,2
WOS:000575124400003,WOS:000925653100020,
WOS:000575124400003,WOS:000918580500001,
WOS:000575124400003,WOS:000915990900001,
WOS:000575124400003,WOS:000904628000012,3
WOS:000575124400003,WOS:000896442900013,1
WOS:000575124400003,WOS:000904619700011,3
WOS:000575124400003,WOS:000901541800001,
WOS:000575124400003,WOS:000898720500006,
WOS:000575124400003,WOS:000898606500013,1
WOS:000575124400003,WOS:000898300800001,
WOS:000575124400003,WOS:000896094900001,
WOS:000575124400003,WOS:000882193800001,1
WOS:000575124400003,WOS:000878763700001,
WOS:000575124400003,WOS:000863755100024,
WOS:000575124400003,WOS:000863042500003,
WOS:000575124400003,WOS:000857919600012,1
WOS:000575124400003,WOS:000844738900018,1
WOS:000575124400003,WOS:000850900100003,
WOS:000575124400003,WOS:000848658800005,2
WOS:000575124400003,WOS:000844856000001,
WOS:000575124400003,WOS:000843209800001,
WOS:000575124400003,WOS:000835290900023,
WOS:000575124400003,WOS:000836038800020,13
WOS:000575124400003,WOS:000836162100001,
WOS:000575124400003,WOS:000836607900004,
WOS:000575124400003,WOS:000830507500004,
WOS:000575124400003,WOS:000832042300001,1
WOS:000575124400003,WOS:000828206100001,2
WOS:000575124400003,WOS:000823395500018,2
WOS:000575124400003,WOS:000826878300001,1
WOS:000575124400003,WOS:000823301400011,2
WOS:000575124400003,WOS:000823727600001,3
WOS:000575124400003,WOS:000819873600009,6
WOS:000575124400003,WOS:000820904200001,4
WOS:000575124400003,WOS:000820338500012,8
WOS:000575124400003,WOS:000817723000004,
WOS:000575124400003,WOS:000816109100001,2
WOS:000575124400003,WOS:000810544800003,1
WOS:000575124400003,WOS:000810897500002,4
WOS:000575124400003,WOS:000814350100001,
WOS:000575124400003,WOS:000812519800004,4
WOS:000575124400003,WOS:000811052000002,1
WOS:000575124400003,WOS:000808347600001,2
WOS:000575124400003,WOS:000798364100013,
WOS:000575124400003,WOS:000799519800001,1
WOS:000575124400003,WOS:000797147300005,
WOS:000575124400003,WOS:000794874800001,
WOS:000575124400003,WOS:000789464700009,24
